Service Description,Service Details,Musculoskeletal system diseases,Circulatory system diseases,Eye and adnexa diseases,Cancer,Nervous system diseases,Endocrine metabolic diseases,GI system diseases,Respiratory system diseases,GU system diseases,Ear and mastoid diseases,Skin subcutaneous diseases,Infectious diseases,Blood diseases,Injury,Mental health,Perinatal care
Procedure - Other Organ Systems,Ureteral catheterization,All,All,All,Others,Others,Others,Others,Others,Ureteral catheterization,Others,All,All,Others,All,All,Others
Procedure - Skin,Debridement,All,All,All,All,All,All,All,All,All,All,Debridement,All,All,All,All,All
Procedure - Skin,Destruction Skin Lesion,All,All,All,All,All,All,All,All,All,All,Destruction Skin Lesion,All,All,All,All,All
Procedure - Skin,"Incision and drainage, skin and subcutaneous tissue",All,All,All,All,All,All,All,All,All,All,Mohs Surgery,All,All,All,All,All
Procedure - Skin,Mohs Surgery,All,All,All,All,All,All,All,All,All,All,Nail Procedure,All,All,All,All,All
Procedure - Skin,Nail Procedure,All,All,All,All,All,All,All,All,All,All,"Incision and drainage, skin and subcutaneous tissue",All,All,All,All,All
Procedure - Skin,No RBCS Family,All,All,All,All,All,All,All,All,All,All,Others,All,All,All,All,All
Procedure - Skin,Removal or Shaving of Skin Growth,All,All,All,All,All,All,All,All,All,All,Removal or Shaving of Skin Growth,All,All,All,All,All
Procedure - Skin,Skin Biopsy,All,All,All,All,All,All,All,All,All,All,Skin Biopsy,All,All,All,All,All
Procedure - Skin,Skin Grafting,All,All,All,All,All,All,All,All,All,All,Skin Grafting,All,All,All,All,All
Procedure - Skin,Skin Lesion Excision,All,All,All,All,All,All,All,All,All,All,Skin Lesion Excision,All,All,All,All,All
Procedure - Skin,Wound Repair - All Levels,All,All,All,All,All,All,All,All,All,All,Wound Repair - All Levels,All,All,All,All,All
Procedure - Vascular,A-V Fistula Creation,All,A-V Fistula Creation,All,Others,All,All,All,All,A-V Fistula Creation,All,All,All,All,All,All,All
Procedure - Vascular,A-V Fistula PCI,All,A-V Fistula PCI,All,Others,All,All,All,All,A-V Fistula PCI,All,All,All,All,All,All,All
Procedure - Vascular,Embolectomy and endarterectomy of lower limbs,All,Embolectomy and endarterectomy of lower limbs,All,Others,All,All,All,All,Others ,All,All,All,All,All,All,All
Procedure - Vascular,"Endarterectomy, vessel of head and neck",All,"Endarterectomy, vessel of head and neck",All,Others,All,All,All,All,Others ,All,All,All,All,All,All,All
Procedure - Vascular,No RBCS Family,All,Others,All,Others,All,All,All,All,Others ,All,All,All,All,All,All,All
Procedure - Vascular,Peripheral vascular bypass,All,Peripheral vascular bypass,All,Others,All,All,All,All,Others ,All,All,All,All,All,All,All
Procedure - Vascular,Transluminal Angioplasty - Arterial,All,Transluminal Angioplasty - Arterial,All,Others,All,All,All,All,Others ,All,All,All,All,All,All,All
Procedure - Vascular,Transluminal Angioplasty - Venous,All,Transluminal Angioplasty - Venous,All,Others,All,All,All,All,Others ,All,All,All,All,All,All,All
Procedure - Vascular,Transvascular Stent,All,Transvascular Stent,All,Others,All,All,All,All,Others ,All,All,All,All,All,All,All
Procedure - Vascular,Varicose Vein Ablation,All,Varicose Vein Ablation,All,Others,All,All,All,All,Others ,All,All,All,All,All,All,All
Procedure - Vascular,Vascular Embolization,All,Vascular Embolization,All,Others,All,All,All,All,Others ,All,All,All,All,All,All,All
Procedure - Vascular,Venous Catheter Insertion,All,Venous Catheter Insertion,All,Venous Catheter Insertion,All,All,All,All,Others ,All,All,All,All,All,All,All
Test - Anatomic Pathology,Immunohistochemistry,All,All,All,All,All,All,All,All,All,All,All,All,All,All,All,All
Test - Anatomic Pathology,No RBCS Family,All,All,All,All,All,All,All,All,All,All,All,All,All,All,All,All
Test - Anatomic Pathology,Surgical Pathology Examination,All,All,All,All,All,All,All,All,All,All,All,All,All,All,All,All
Test - Cardiography,Electrocardiogram,All,Electrocardiogram,All,All,All,All,All,All,All,All,All,All,All,All,All,All
Test - Cardiography,External Electrocardiographic Monitoring,All,External Electrocardiographic Monitoring,All,All,All,All,All,All,All,All,All,All,All,All,All,All
Test - Cardiography,No RBCS Family,All,Others,All,All,All,All,All,All,All,All,All,All,All,All,All,All
Test - General Laboratory,Bacterial Culture,All,All,All,All,All,All,All,All,All,All,All,Bacterial Culture,Others,All,Others,All
Test - General Laboratory,Blood Count,All,All,All,All,All,All,All,All,All,All,All,Others,Blood Count,All,Others,All
Test - General Laboratory,Clinical Chemistry,All,All,All,All,All,All,All,All,All,All,All,Others,Others,All,Others,All
Test - General Laboratory,Drug Tests,All,All,All,All,All,All,All,All,All,All,All,Others,Others,All,Drug Tests,All
Test - General Laboratory,Immunoassay,All,All,All,All,All,All,All,All,All,All,All,Others,Others,All,Others,All
Test - General Laboratory,No RBCS Family,All,All,All,All,All,All,All,All,All,All,All,Others,Others,All,Others,All
Test - General Laboratory,Venipuncture Blood Collection,All,All,All,All,All,All,All,All,All,All,All,Others,Others,All,Others,All
Test - Molecular Testing,Genetic Analysis,All,All,All,Genetic Analysis,All,All,All,All,All,All,All,Others,All,All,All,All
Test - Molecular Testing,Infectious Agent Detection by DNA/RNA,All,All,All,Others,All,All,All,All,All,All,All,Infectious Agent Detection by DNA/RNA,All,All,All,All
Test - Neurologic,Electrical Nerve Conductivity,All,All,All,All,Electrical Nerve Conductivity,All,All,All,All,All,All,All,All,All,All,All
Test - Neurologic,No RBCS Family,All,All,All,All,Others,All,All,All,All,All,All,All,All,All,All,All
Test - Neurologic,Sleep Study,All,All,All,All,Sleep Study,All,All,All,All,All,All,All,All,All,All,All
Test - Pulmonary,No RBCS Family,All,All,All,All,All,All,All,Others,All,All,All,All,All,All,All,All
Test - Pulmonary,Pulmonary Function Testing,All,All,All,All,All,All,All,Pulmonary Function Testing,All,All,All,All,All,All,All,All
Test - Test - Miscellaneous,No RBCS Family,All,All,All,All,All,All,All,All,All,All,All,All,All,All,All,All
Treatment - Chemotherapy,J Code,All,All,All,J Code,All,All,All,All,All,All,All,All,All,All,All,All
Treatment - Chemotherapy,Chemotherapy Administration,All,All,All,Chemotherapy Administration,All,All,All,All,All,All,All,All,All,All,All,All
Treatment - Chemotherapy,No RBCS Family,All,All,All,Others,All,All,All,All,All,All,All,All,All,All,All,All
Treatment - Dialysis,ESRD Related Services (not dialysis),All,All,All,All,All,All,All,All,All,All,All,All,All,All,All,All
Treatment - Dialysis,Hemodialysis,All,All,All,All,All,All,All,All,All,All,All,All,All,All,All,All
Treatment - Dialysis,No RBCS Family,All,All,All,All,All,All,All,All,All,All,All,All,All,All,All,All
Treatment - Dialysis,Peritoneal Dialysis,All,All,All,All,All,All,All,All,All,All,All,All,All,All,All,All
Treatment - Erythropoiesis - Stimulating Agent,J Code,J Code,J Code,J Code,J Code,J Code,J Code,J Code,J Code,J Code,J Code,J Code,J Code,J Code,J Code,J Code,J Code
Treatment - Injection - Anticoagulant,J Code,J Code,J Code,J Code,J Code,J Code,J Code,J Code,J Code,J Code,J Code,J Code,J Code,J Code,J Code,J Code,J Code
Treatment - Injection - Clotting Factors,J Code,J Code,J Code,J Code,J Code,J Code,J Code,J Code,J Code,J Code,J Code,J Code,J Code,J Code,J Code,J Code,J Code
Treatment - Injection - Colony Stimulating Factors,J Code,J Code,J Code,J Code,J Code,J Code,J Code,J Code,J Code,J Code,J Code,J Code,J Code,J Code,J Code,J Code,J Code
Treatment - Injection - Enzymes,J Code,J Code,J Code,J Code,J Code,J Code,J Code,J Code,J Code,J Code,J Code,J Code,J Code,J Code,J Code,J Code,J Code
Treatment - Injection - Growth/Hormone Factor,J Code,J Code,J Code,J Code,J Code,J Code,J Code,J Code,J Code,J Code,J Code,J Code,J Code,J Code,J Code,J Code,J Code
Treatment - Injection - Hyaluronan or Derivative,J Code,J Code,J Code,J Code,J Code,J Code,J Code,J Code,J Code,J Code,J Code,J Code,J Code,J Code,J Code,J Code,J Code
Treatment - Injection - Immune Globulin,J Code,J Code,J Code,J Code,J Code,J Code,J Code,J Code,J Code,J Code,J Code,J Code,J Code,J Code,J Code,J Code,J Code
Treatment - Injection - Immunomodulator,J Code,J Code,J Code,J Code,J Code,J Code,J Code,J Code,J Code,J Code,J Code,J Code,J Code,J Code,J Code,J Code,J Code
Treatment - Injection - Macular Degeneration,J Code,J Code,J Code,J Code,J Code,J Code,J Code,J Code,J Code,J Code,J Code,J Code,J Code,J Code,J Code,J Code,J Code
Treatment - Injection - Monoclonal Antibodies,J Code,J Code,J Code,J Code,J Code,J Code,J Code,J Code,J Code,J Code,J Code,J Code,J Code,J Code,J Code,J Code,J Code
Treatment - Injection - Somatostatin,J Code,J Code,J Code,J Code,J Code,J Code,J Code,J Code,J Code,J Code,J Code,J Code,J Code,J Code,J Code,J Code,J Code
Treatment - Injection - Tumor Necrosis Factor Blocker,J Code,J Code,J Code,J Code,J Code,J Code,J Code,J Code,J Code,J Code,J Code,J Code,J Code,J Code,J Code,J Code,J Code
Treatment - Injection - Vasodilator,J Code,J Code,J Code,J Code,J Code,J Code,J Code,J Code,J Code,J Code,J Code,J Code,J Code,J Code,J Code,J Code,J Code
Treatment - Injection Administration,All,All,All,All,All,All,All,All,All,All,All,All,All,All,All,All,All
"Treatment - Intravenous Infusion, Hydration",All,All,All,All,All,All,All,All,All,All,All,All,All,All,All,All,All
Treatment - Injections and Infusions - Others,All,All,All,All,All,All,All,All,All,All,All,All,All,All,All,All,All
Treatment - Vaccine - Toxoids,All,All,All,All,All,All,All,All,All,All,All,All,All,All,All,All,All
"Treatment - Vaccine Admin - Flu, Pneum, and Hep B",All,All,All,All,All,All,All,All,All,All,All,All,All,All,All,All,All
"Treatment - Physical, Occupational, and Speech Therapy",Occupational Therapy,Occupational Therapy,All,All,All,Occupational Therapy,All,All,All,All,All,All,All,All,Occupational Therapy,All,All
"Treatment - Physical, Occupational, and Speech Therapy",PT Treatment,PT Treatment,All,All,All,PT Treatment,All,All,All,All,All,All,All,All,PT Treatment,All,All
"Treatment - Physical, Occupational, and Speech Therapy",PT/OT Evaluation,PT/OT Evaluation,All,All,All,PT/OT Evaluation,All,All,All,All,All,All,All,All,PT/OT Evaluation,All,All
"Treatment - Physical, Occupational, and Speech Therapy",Speech Therapy,Speech Therapy,All,All,All,Speech Therapy,All,All,All,All,All,All,All,All,Speech Therapy,All,All
Treatment - Radiation Oncology,Conventional Radiation Treatment,All,All,All,Conventional Radiation Treatment,All,All,All,All,All,All,All,All,All,All,All,All
Treatment - Radiation Oncology,Intensity Modulated Radiation Therapy,All,All,All,Intensity Modulated Radiation Therapy,All,All,All,All,All,All,All,All,All,All,All,All
Treatment - Radiation Oncology,No RBCS Family,All,All,All,Others,All,All,All,All,All,All,All,All,All,All,All,All
Treatment - Radiation Oncology,Radiation Treatment Planning,All,All,All,Radiation Treatment Planning,All,All,All,All,All,All,All,All,All,All,All,All
Treatment - Spinal Manipulation,Chiropractic,Chiropractic,All,All,All,Chiropractic,All,All,All,All,All,All,All,All,All,All,All
Treatment - Spinal Manipulation,No RBCS Family,Others,All,All,All,Others,All,All,All,All,All,All,All,All,All,All,All
Treatment - Treatment - Miscellaneous,Cardiac Rehabilitation,All,Cardiac Rehabilitation,All,All,All,All,All,All,All,All,Others,All,All,All,All,All
Treatment - Treatment - Miscellaneous,Hyperbaric Oxygen,All,Others,All,All,All,All,All,All,All,All,Hyperbaric Oxygen,All,All,All,All,All
Treatment - Treatment - Miscellaneous,Immunosuppressive Drugs - Non-injectable,All,Others,All,All,All,All,All,All,All,All,Others,All,All,All,All,All
Treatment - Treatment - Miscellaneous,No RBCS Family,All,Others,All,All,All,All,All,All,All,All,Others,All,All,All,All,All
Other - Ambulance,Medical Transport - Air,All,Medical Transport - Air,All,All,Medical Transport - Air,All,All,Medical Transport - Air,All,All,All,All,All,Medical Transport - Air,All,All
Other - Ambulance,Medical Transport - Ground,All,Others,All,All,Others,All,All,Others,All,All,All,All,All,Others,All,All
Other - Ambulance,Medical Transport - Ground Emergency,All,Others,All,All,Others,All,All,Others,All,All,All,All,All,Others,All,All
Other - Ambulance,Medical Transport - Mileage,All,Others,All,All,Others,All,All,Others,All,All,All,All,All,Others,All,All
Other - Ambulance,No RBCS Family,All,Others,All,All,Others,All,All,Others,All,All,All,All,All,Others,All,All
Other - Enteral and Parenteral,Enteral Feeding and Formula,All,All,All,All,All,All,Enteral Feeding and Formula,All,All,All,All,All,All,All,All,All
Other - Enteral and Parenteral,No RBCS Family,All,All,All,All,All,All,Others,All,All,All,All,All,All,All,All,All
Other - Enteral and Parenteral,Parenteral Feeding and Formula,All,All,All,All,All,All,Parenteral Feeding and Formula,All,All,All,All,All,All,All,All,All
"Other - Vision, Hearing, and Speech Services",No RBCS Family,All,All,All,All,All,All,Others,All,All,All,All,All,All,All,All,All
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
